,name,latitude,longitude,free_bikes,empty_slots
0,"RAMBLA DE L'ONZE DE SETEMBRE, 69",41.4299999,2.190246,24,1
1,"PG. TORRAS I BAGES, 129",41.4433647,2.1906302,17,7
2,"C/ SANT OLEGUER, 2",41.3775319,2.1707321,13,5
3,"AV. PARAL.LEL, 194",41.3751161,2.1523091,2,24
4,"C/ BILBAO, 174",41.4090202,2.1954152,23,9
5,"C/ D'ESCORNALBOU, 51",41.4180789,2.1763994,22,2
6,"C/ GANDUXER, 29",41.3939378,2.1380304,0,21
7,"C/ MASSENS, 76",41.4092333,2.1557747,10,18
8,"GRAN VIA DE LES CORTS CATALANES,  1131",41.4183999,2.2058133,15,19
9,"PG. ZONA FRANCA, 54",41.3545425,2.1433038,8,11
10,"C/ FELIP II, 214",41.426925,2.1786224,17,10
11,"C/ CAMPO FLORIDO, 66",41.4216738,2.1799878,6,13
12,"C/ GRANOLLERS, 1",41.4283127,2.1629889,2,22
13,"C/ CAVALLERS, 67",41.3934324,2.115107,3,23
14,"AV. DIAGONAL, 680",41.3875297,2.1237141,4,21
15,"PG. VALL D'HEBRÓN, 168",41.4280668,2.1443777,1,49
16,"C/ SANT ADRIÀ, 88",41.4354601,2.2001569,8,13
17,"C/ RAMON TURRÓ, 91",41.3953011,2.1965965,21,5
18,PL. JESÚS CARRASCO,41.4450463,2.176726,10,10
19,"RAMBLA FABRA I PUIG, 67",41.4299201,2.1849813,9,23
20,"C/ SARDENYA, 465",41.4090922,2.1656378,9,17
21,"C/ NÀPOLS, 125",41.3957813,2.1787074,8,24
22,"C/ AMILCAR, 1",41.4300161,2.1720191,6,4
23,"C/CONSELL DE CENT, 6",41.3755503,2.1439036,23,3
24,"C/ JOSÉ DE  AGULLÓ, 9",41.3952027,2.1334873,1,23
25,C/ PINTOR RIBALTA / AV. XILE,41.3791986,2.1135824,4,26
26,"C/ ANDREU NIN, 22",41.4347233,2.1817718,5,26
27,"AV. RIO DE JANEIRO, 3",41.43068,2.1821802,3,29
28,"C/ TEODOR LLORENTE, 1",41.419178,2.18018,12,19
29,PL. ICTÍNEO,41.3776292,2.1836886,14,14
30,"PL. DEL NORD, 5",41.4068417,2.1558354,5,16
31,"C/ TARRAGONA, 103-115",41.3763948,2.1473272,7,25
32,"C/ ONZE DE SETEMBRE, 37-39",41.4298614,2.1922011,21,5
33,"C/ ROSA SENSAT, 20",41.3910756,2.1965766,13,5
34,"RAMBLA DEL BRASIL, 5",41.3759419,2.1299539,10,17
35,"C/ MALATS, 98-100",41.4366708,2.186105,10,5
36,"C/ LOPE DE VEGA, 79",41.4038902,2.2041137,24,2
37,"C/ SANT HERMENEGILD, 30",41.4031529,2.1445843,5,22
38,"C/ BRUC, 66",41.393489,2.1707419,9,23
39,"LA RAMBLA, 75",41.3811389,2.1729755,10,8
40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
41,"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",41.4158412,2.1959771,41,0
42,"C/ JOSEP ESTIVILL, 32",41.4175595,2.1877153,17,7
43,"PG. VALLDAURA, 171",41.4389014,2.1715576,1,22
44,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",41.3675574,2.1388216,16,35
45,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",41.3982304,2.1531031,2,18
46,"C/ DEL TORRENT DE LES FLORS, 102",41.4078456,2.1586704,9,7
47,"C/ LEPANT,  278",41.4047056,2.1765126,12,9
48,"RONDA DE SANT PAU, 51",41.3773113,2.1646742,16,18
49,"C/ BRUC, 102",41.3954041,2.1681961,8,12
50,"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI",41.4345997,2.1585268,1,25
51,"C/ GRAN DE GRÀCIA, 37",41.3989151,2.1564253,1,26
52,"C/ NUMÀNCIA, 136",41.3878061,2.1344218,3,20
53,"C/ LLULL, 309",41.4065291,2.2091221,10,15
54,"C/ VILAMARÍ,  61",41.3790718,2.1490553,10,9
55,"C/ SANTALÓ, 165",41.4009,2.13892,9,15
56,"C/ ROSSELLÓ, 108-110",41.388296,2.150878,8,9
57,PL. CARLES PI I SUNYER,41.385086,2.174016,5,15
58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
59,"RAMBLA DE PRIM, 19",41.4116634,2.2183313,8,18
60,PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS,41.3631066,2.1398322,29,1
61,"C/ LLOBREGÓS, 115",41.4246885,2.1570492,8,19
62,"AV. DIAGONAL, 672",41.3880355,2.1256248,1,32
63,"AV. MERIDIANA, 404",41.4304126,2.1834174,14,22
64,"TRAVESSERA DE GRÀCIA, 368",41.4098842,2.1715285,24,3
65,"C/ TARRAGONA, 141",41.3779613,2.1450491,6,14
66,"C/ DEL CANÓ, 1",41.4013296,2.1574439,0,25
67,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,30,12
68,"C/ CARDENER, 59",41.4105956,2.1579897,10,16
69,"C/ SANT ADRIÀ, 113",41.4361782,2.2047037,10,13
70,"C/ AMILCAR, 78",41.4260751,2.1722534,8,17
71,C/ NOVA  BOCANA,41.3702483,2.1878126,9,22
72,"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,20,2
73,"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,8,14
74,"C/ LLEIDA, 40",41.3717304,2.1554047,14,11
75,"C/ MADRAZO, 39",41.400305,2.149144,0,27
76,"C/ MADRAZO, 131",41.3967824,2.1445567,1,25
77,"C/ CARME KARR, 12-14",41.3986238,2.1204941,0,23
78,"C/ GAVÀ, 1",41.3723682,2.1419494,18,12
79,PG. SANT ANTONI /PL. SANTS,41.3756948,2.1358571,7,19
80,"C/ ROSSELLÓ, 261",41.3954094,2.1599427,2,24
81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
82,PL. TETUAN,41.3943454,2.1751709,6,17
83,"C/ MAIGNON, 31-41",41.4095926,2.1524953,6,23
84,"C/ VIRIAT,  53",41.3808222,2.141539,2,17
85,"PG. PUJADES,  1 (JUTJATS)",41.388885,2.18329,7,19
86,"RDA. DE SANT PERE, 26",41.389492,2.17425,2,17
87,"C/ LISBOA, 1",41.429561735076526,2.1589684563445877,14,15
88,"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,10,14
89,"PG. ZONA FRANCA, 244",41.36352,2.1369015,7,8
90,"RAMBLA DE L'ONZE DE SETEMBRE, 31",41.4298991,2.1932159,32,1
91,"C/ PUJADES, 121",41.3993329,2.1974184,16,11
92,"C/ CAMÈLIES, 78",41.4145614,2.1658677,16,9
93,"AV. JOSEP TARRADELLAS, 58",41.385004,2.1429115,5,16
94,"PL. CATALUNYA, 7",41.386543,2.169427,1,25
95,"C/ ARIZALA, 77",41.3789061,2.1233038,19,16
96,"C/ MÉNDEZ NÚÑEZ, 16",41.3900544,2.1775594,9,17
97,"C/ ESPRONCEDA, 298",41.4158807,2.1908473,13,12
98,"LA RAMBLA, 80",41.3811923,2.1735007,3,15
99,"AV. DIAGONAL, 634",41.3908477,2.136579,1,23
100,"C/ RAMON TURRÓ, 246",41.4017084,2.2053803,25,1
101,"C/ PROVENÇA, 388-390",41.401061,2.169941,3,20
102,"C/ IRLANDA, 34",41.4315,2.18579,4,8
103,"C/ CALABRIA, 158",41.3821658,2.1520645,17,5
