,Bike Stop #,name,distance,venue_type
0,1,,,[]
1,2,,,[]
2,3,,,[]
3,4,Montjuic (Barcelona),181,Art Museum
4,5,,,[]
5,6,,,[]
6,7,,,[]
7,8,,,[]
8,9,,,[]
9,10,,,[]
10,11,,,[]
11,12,,,[]
12,13,,,[]
13,14,,,[]
14,15,,,[]
15,16,Museo de Tenis,94,Museum
16,17,,,[]
17,18,,,[]
18,19,,,[]
19,20,,,[]
20,21,,,[]
21,22,,,[]
22,23,,,[]
23,24,,,[]
24,25,,,[]
25,26,,,[]
26,27,,,[]
27,28,,,[]
28,29,,,[]
29,30,,,[]
30,31,Museu Casa Verdaguer,166,Museum
31,32,,,[]
32,33,,,[]
33,34,,,[]
34,35,,,[]
35,36,,,[]
36,37,Cementeri de Poble Nou,102,Art Museum
37,38,Coface Sucursal en España,105,Museum
38,39,Nexus Recursos Humanos,119,Museum
39,40,Big Fun Museum,114,Museum
40,40,Erotic Museum (Museu de l'Eròtica),118,Erotic Museum
41,40,Les Rambles,87,Art Museum
42,40,Mosaico Pla de l'Os,131,Museum
43,40,Erotic Museum,128,Art Museum
44,40,Institut de Cultura de Barcelona,186,Museum
45,40,Palau de la Virreina,181,Art Gallery
46,41,Antic Car Club de Catalunya,185,Museum
47,42,,,[]
48,43,,,[]
49,44,,,[]
50,45,,,[]
51,46,,,[]
52,47,,,[]
53,48,Museu del Temple Expiatori de la Sagrada Familia,190,Museum
54,49,,,[]
55,50,,,[]
56,51,,,[]
57,52,,,[]
58,53,,,[]
59,54,,,[]
60,55,,,[]
61,56,,,[]
62,57,,,[]
63,58,Museo Dalí Escultor. Edificio Real Círculo Artístico,57,Museum
64,58,The Gaudí Exhibition Center,164,Art Museum
65,58,Via Sepulcral Romana,171,Monument
66,58,Museu Diocesà de Barcelona,169,History Museum
67,58,Museo Diocesano de Barcelona,179,History Museum
68,58,Reial Cercle Artístic de Barcelona,66,Concert Hall
69,59,,,[]
70,60,Museu Blau,168,History Museum
71,61,Joan Miró Tour - Cementiri Montjuic,41,Museum
72,62,,,[]
73,63,,,[]
74,64,,,[]
75,65,,,[]
76,66,,,[]
77,67,"Davis Museum, The Davis Lisboa Mini-Museum of Contemporary Art in Barcelona",123,Museum
78,67,Davis Lisboa,124,Painter
79,68,Museu de la Música,118,History Museum
80,68,Museu de Carrosses Fúnebres,156,History Museum
81,69,,,[]
82,70,,,[]
83,71,,,[]
84,72,,,[]
85,73,,,[]
86,74,,,[]
87,75,Punt d'Ancoratge de Bicicletes Guàrdia Urbana,121,Museum
88,76,Fremap-mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social,74,Museum
89,76,Arxiu Joan Maragall,181,Museum
90,77,,,[]
91,78,,,[]
92,79,,,[]
93,80,,,[]
94,81,Generalitat de Catalunya,102,History Museum
95,81,Centre Cultural Caixa Catalunya,161,Museum
96,81,Palau Robert,99,Art Gallery
97,81,Casa Ramon Casas,120,Monument
98,82,,,[]
99,83,,,[]
100,84,,,[]
101,85,,,[]
102,86,Museu de Zoologia,93,Science Museum
103,86,Laboratori de Natura,95,Science Museum
104,87,Teatre Museu el Rei de la Màgia,106,Art Museum
105,87,Museo Magic World,187,Museum
106,88,,,[]
107,89,,,[]
108,90,,,[]
109,91,,,[]
110,92,,,[]
111,93,,,[]
112,94,,,[]
113,95,MUHBA Casa de l'Aigua,106,Museum
114,96,,,[]
115,97,Museo Auto-Moto,165,Museum
116,98,,,[]
117,99,Les Rambles,56,Art Museum
118,99,Mosaico Pla de l'Os,104,Museum
119,99,Big Fun Museum,126,Museum
120,99,Erotic Museum (Museu de l'Eròtica),134,Erotic Museum
121,99,Erotic Museum,139,Art Museum
122,100,,,[]
123,101,Tienda Infame - Art Shop,115,Museum
124,102,Palau Macaya,155,Science Museum
125,103,,,[]
126,104,,,[]
127,105,,,[]
128,106,,,[]
129,107,,,[]
130,108,,,[]
131,109,,,[]
132,110,,,[]
133,111,,,[]
134,112,,,[]
135,113,,,[]
136,114,,,[]
137,115,Museo Magic World,204,Museum
138,116,,,[]
139,117,,,[]
140,118,Fundación Antoni Tàpies,137,Museum
141,118,Museu del Perfum,128,History Museum
142,118,Museu del Modernisme Català,165,Art Museum
143,118,Casa Lleó i Morera,175,Monument
144,119,Casa Dels Entremesos,165,Museum
145,120,,,[]
146,121,,,[]
147,122,,,[]
148,123,,,[]
149,124,,,[]
150,125,,,[]
151,126,,,[]
152,127,Museu Can Framis,118,Art Museum
153,128,,,[]
154,129,,,[]
155,130,,,[]
156,131,,,[]
157,132,,,[]
158,133,,,[]
159,134,Santería Milagrosa,141,Art Museum
160,135,,,[]
161,136,,,[]
162,137,,,[]
163,138,,,[]
164,139,,,[]
165,140,,,[]
166,141,,,[]
167,142,Museu de la Xocolata,7,Art Museum
168,142,Convent de Sant Agustí,93,Museum
169,142,Picasso Museum (Museu Picasso),195,Museum
170,142,Laboratori de Natura,161,Science Museum
171,142,Fundació Joan Brossa,194,Art Museum
172,142,Museo de Ciencias Naturales,195,History Museum
173,142,Museu Martorell,198,Science Museum
174,142,Museu de Zoologia,198,Science Museum
175,142,Gas Natural Fenosa,172,Art Museum
176,142,Museu de Ciencies Naturals,198,Museum
177,143,,,[]
178,144,,,[]
179,145,,,[]
180,146,,,[]
181,147,,,[]
182,148,,,[]
183,149,Museu d'Història de Catalunya,61,Museum
184,150,,,[]
185,151,,,[]
186,152,,,[]
187,153,Museu de les Il·lusions,161,Museum
188,153,MUHBA Casa de l'Aigua,149,Museum
189,154,,,[]
190,155,Armeria Ravell,29,Museum
191,156,Museu de la Música,189,History Museum
192,157,,,[]
193,158,,,[]
194,159,Museu Basilica de la Sagrada Familia,141,Museum
195,159,Museu del Temple Expiatori de la Sagrada Familia,190,Museum
196,160,,,[]
197,161,,,[]
198,162,,,[]
199,163,,,[]
200,164,,,[]
201,165,,,[]
202,166,,,[]
203,167,Muhba Oliva Artés,138,History Museum
204,168,,,[]
205,169,Casa Terrades,139,Monument
206,170,,,[]
207,171,,,[]
208,172,MUHBA Santa Caterina,74,Museum
209,172,Suau,170,Art Museum
210,173,,,[]
211,174,,,[]
212,175,Museo Adidas & Messi,137,Museum
213,175,Museu del Modernisme Català,176,Art Museum
214,175,Museu del Perfum,168,History Museum
215,175,Casa Lleó i Morera,179,Monument
216,176,,,[]
217,177,,,[]
218,178,Capella del Santissim Sacrament,163,Museum
219,178,MUHBA Santa Caterina,137,Museum
220,178,Real Academia de Bellas Artés de San Jorge,192,Art Museum
221,178,Suau,165,Art Museum
222,179,La Fábrica del Sol,165,Museum
223,179,Gas Natural Fenosa,126,Art Museum
224,180,,,[]
225,181,,,[]
226,182,,,[]
227,183,,,[]
228,184,Museu de la Farmàcia Catalana,149,Science Museum
229,185,,,[]
230,186,Museu d'Història de Barcelona - Centre d'Interpretació Històrica del Refugi 307,29,Museum
231,186,Refugi 307,48,Monument
232,187,,,[]
233,188,Museo de Cera de Barcelona - MUCESA,41,Art Museum
234,188,Wax museum,44,Art Museum
235,188,Museo Marítimo de Barcelona,173,Art Museum
236,188,Columbus Monument,172,Art Museum
237,188,Arts Santa Mònica,61,Art Gallery
238,188,Galería Ferrán Cano,911,Art Gallery
239,189,,,[]
240,190,Guides & Culture,192,Museum
241,191,,,[]
242,192,,,[]
243,193,Museu Etnogràfic Andino - Amazònic,165,History Museum
244,194,,,[]
245,195,,,[]
246,196,Museu d'Història de Catalunya,203,Museum
247,197,,,[]
248,198,,,[]
249,199,,,[]
250,200,,,[]
251,201,The Gaudí Exhibition Center,180,Art Museum
252,201,Museo Dalí Escultor. Edificio Real Círculo Artístico,88,Museum
