,Unnamed: 0_x,Bike Stop #,name_x,distance,venue_type,Unnamed: 0_y,name_y,latitude,longitude,free_bikes,empty_slots
0,0,1,,,[],1,"PG. TORRAS I BAGES, 129",41.4433647,2.1906302,17,7
1,1,2,,,[],2,"C/ SANT OLEGUER, 2",41.3775319,2.1707321,13,5
2,2,3,,,[],3,"AV. PARAL.LEL, 194",41.3751161,2.1523091,2,24
3,3,4,Montjuic (Barcelona),181.0,Art Museum,4,"C/ BILBAO, 174",41.4090202,2.1954152,23,9
4,4,5,,,[],5,"C/ D'ESCORNALBOU, 51",41.4180789,2.1763994,22,2
5,5,6,,,[],6,"C/ GANDUXER, 29",41.3939378,2.1380304,0,21
6,6,7,,,[],7,"C/ MASSENS, 76",41.4092333,2.1557747,10,18
7,7,8,,,[],8,"GRAN VIA DE LES CORTS CATALANES,  1131",41.4183999,2.2058133,15,19
8,8,9,,,[],9,"PG. ZONA FRANCA, 54",41.3545425,2.1433038,8,11
9,9,10,,,[],10,"C/ FELIP II, 214",41.426925,2.1786224,17,10
10,10,11,,,[],11,"C/ CAMPO FLORIDO, 66",41.4216738,2.1799878,6,13
11,11,12,,,[],12,"C/ GRANOLLERS, 1",41.4283127,2.1629889,2,22
12,12,13,,,[],13,"C/ CAVALLERS, 67",41.3934324,2.115107,3,23
13,13,14,,,[],14,"AV. DIAGONAL, 680",41.3875297,2.1237141,4,21
14,14,15,,,[],15,"PG. VALL D'HEBRÓN, 168",41.4280668,2.1443777,1,49
15,15,16,Museo de Tenis,94.0,Museum,16,"C/ SANT ADRIÀ, 88",41.4354601,2.2001569,8,13
16,16,17,,,[],17,"C/ RAMON TURRÓ, 91",41.3953011,2.1965965,21,5
17,17,18,,,[],18,PL. JESÚS CARRASCO,41.4450463,2.176726,10,10
18,18,19,,,[],19,"RAMBLA FABRA I PUIG, 67",41.4299201,2.1849813,9,23
19,19,20,,,[],20,"C/ SARDENYA, 465",41.4090922,2.1656378,9,17
20,20,21,,,[],21,"C/ NÀPOLS, 125",41.3957813,2.1787074,8,24
21,21,22,,,[],22,"C/ AMILCAR, 1",41.4300161,2.1720191,6,4
22,22,23,,,[],23,"C/CONSELL DE CENT, 6",41.3755503,2.1439036,23,3
23,23,24,,,[],24,"C/ JOSÉ DE  AGULLÓ, 9",41.3952027,2.1334873,1,23
24,24,25,,,[],25,C/ PINTOR RIBALTA / AV. XILE,41.3791986,2.1135824,4,26
25,25,26,,,[],26,"C/ ANDREU NIN, 22",41.4347233,2.1817718,5,26
26,26,27,,,[],27,"AV. RIO DE JANEIRO, 3",41.43068,2.1821802,3,29
27,27,28,,,[],28,"C/ TEODOR LLORENTE, 1",41.419178,2.18018,12,19
28,28,29,,,[],29,PL. ICTÍNEO,41.3776292,2.1836886,14,14
29,29,30,,,[],30,"PL. DEL NORD, 5",41.4068417,2.1558354,5,16
30,30,31,Museu Casa Verdaguer,166.0,Museum,31,"C/ TARRAGONA, 103-115",41.3763948,2.1473272,7,25
31,31,32,,,[],32,"C/ ONZE DE SETEMBRE, 37-39",41.4298614,2.1922011,21,5
32,32,33,,,[],33,"C/ ROSA SENSAT, 20",41.3910756,2.1965766,13,5
33,33,34,,,[],34,"RAMBLA DEL BRASIL, 5",41.3759419,2.1299539,10,17
34,34,35,,,[],35,"C/ MALATS, 98-100",41.4366708,2.186105,10,5
35,35,36,,,[],36,"C/ LOPE DE VEGA, 79",41.4038902,2.2041137,24,2
36,36,37,Cementeri de Poble Nou,102.0,Art Museum,37,"C/ SANT HERMENEGILD, 30",41.4031529,2.1445843,5,22
37,37,38,Coface Sucursal en España,105.0,Museum,38,"C/ BRUC, 66",41.393489,2.1707419,9,23
38,38,39,Nexus Recursos Humanos,119.0,Museum,39,"LA RAMBLA, 75",41.3811389,2.1729755,10,8
39,39,40,Big Fun Museum,114.0,Museum,40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
40,40,40,Erotic Museum (Museu de l'Eròtica),118.0,Erotic Museum,40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
41,41,40,Les Rambles,87.0,Art Museum,40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
42,42,40,Mosaico Pla de l'Os,131.0,Museum,40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
43,43,40,Erotic Museum,128.0,Art Museum,40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
44,44,40,Institut de Cultura de Barcelona,186.0,Museum,40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
45,45,40,Palau de la Virreina,181.0,Art Gallery,40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
46,46,41,Antic Car Club de Catalunya,185.0,Museum,41,"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",41.4158412,2.1959771,41,0
47,47,42,,,[],42,"C/ JOSEP ESTIVILL, 32",41.4175595,2.1877153,17,7
48,48,43,,,[],43,"PG. VALLDAURA, 171",41.4389014,2.1715576,1,22
49,49,44,,,[],44,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",41.3675574,2.1388216,16,35
50,50,45,,,[],45,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",41.3982304,2.1531031,2,18
51,51,46,,,[],46,"C/ DEL TORRENT DE LES FLORS, 102",41.4078456,2.1586704,9,7
52,52,47,,,[],47,"C/ LEPANT,  278",41.4047056,2.1765126,12,9
53,53,48,Museu del Temple Expiatori de la Sagrada Familia,190.0,Museum,48,"RONDA DE SANT PAU, 51",41.3773113,2.1646742,16,18
54,54,49,,,[],49,"C/ BRUC, 102",41.3954041,2.1681961,8,12
55,55,50,,,[],50,"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI",41.4345997,2.1585268,1,25
56,56,51,,,[],51,"C/ GRAN DE GRÀCIA, 37",41.3989151,2.1564253,1,26
57,57,52,,,[],52,"C/ NUMÀNCIA, 136",41.3878061,2.1344218,3,20
58,58,53,,,[],53,"C/ LLULL, 309",41.4065291,2.2091221,10,15
59,59,54,,,[],54,"C/ VILAMARÍ,  61",41.3790718,2.1490553,10,9
60,60,55,,,[],55,"C/ SANTALÓ, 165",41.4009,2.13892,9,15
61,61,56,,,[],56,"C/ ROSSELLÓ, 108-110",41.388296,2.150878,8,9
62,62,57,,,[],57,PL. CARLES PI I SUNYER,41.385086,2.174016,5,15
63,63,58,Museo Dalí Escultor. Edificio Real Círculo Artístico,57.0,Museum,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
64,64,58,The Gaudí Exhibition Center,164.0,Art Museum,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
65,65,58,Via Sepulcral Romana,171.0,Monument,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
66,66,58,Museu Diocesà de Barcelona,169.0,History Museum,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
67,67,58,Museo Diocesano de Barcelona,179.0,History Museum,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
68,68,58,Reial Cercle Artístic de Barcelona,66.0,Concert Hall,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
69,69,59,,,[],59,"RAMBLA DE PRIM, 19",41.4116634,2.2183313,8,18
70,70,60,Museu Blau,168.0,History Museum,60,PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS,41.3631066,2.1398322,29,1
71,71,61,Joan Miró Tour - Cementiri Montjuic,41.0,Museum,61,"C/ LLOBREGÓS, 115",41.4246885,2.1570492,8,19
72,72,62,,,[],62,"AV. DIAGONAL, 672",41.3880355,2.1256248,1,32
73,73,63,,,[],63,"AV. MERIDIANA, 404",41.4304126,2.1834174,14,22
74,74,64,,,[],64,"TRAVESSERA DE GRÀCIA, 368",41.4098842,2.1715285,24,3
75,75,65,,,[],65,"C/ TARRAGONA, 141",41.3779613,2.1450491,6,14
76,76,66,,,[],66,"C/ DEL CANÓ, 1",41.4013296,2.1574439,0,25
77,77,67,"Davis Museum, The Davis Lisboa Mini-Museum of Contemporary Art in Barcelona",123.0,Museum,67,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,30,12
78,78,67,Davis Lisboa,124.0,Painter,67,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,30,12
79,79,68,Museu de la Música,118.0,History Museum,68,"C/ CARDENER, 59",41.4105956,2.1579897,10,16
80,80,68,Museu de Carrosses Fúnebres,156.0,History Museum,68,"C/ CARDENER, 59",41.4105956,2.1579897,10,16
81,81,69,,,[],69,"C/ SANT ADRIÀ, 113",41.4361782,2.2047037,10,13
82,82,70,,,[],70,"C/ AMILCAR, 78",41.4260751,2.1722534,8,17
83,83,71,,,[],71,C/ NOVA  BOCANA,41.3702483,2.1878126,9,22
84,84,72,,,[],72,"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,20,2
85,85,73,,,[],73,"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,8,14
86,86,74,,,[],74,"C/ LLEIDA, 40",41.3717304,2.1554047,14,11
87,87,75,Punt d'Ancoratge de Bicicletes Guàrdia Urbana,121.0,Museum,75,"C/ MADRAZO, 39",41.400305,2.149144,0,27
88,88,76,Fremap-mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social,74.0,Museum,76,"C/ MADRAZO, 131",41.3967824,2.1445567,1,25
89,89,76,Arxiu Joan Maragall,181.0,Museum,76,"C/ MADRAZO, 131",41.3967824,2.1445567,1,25
90,90,77,,,[],77,"C/ CARME KARR, 12-14",41.3986238,2.1204941,0,23
91,91,78,,,[],78,"C/ GAVÀ, 1",41.3723682,2.1419494,18,12
92,92,79,,,[],79,PG. SANT ANTONI /PL. SANTS,41.3756948,2.1358571,7,19
93,93,80,,,[],80,"C/ ROSSELLÓ, 261",41.3954094,2.1599427,2,24
94,94,81,Generalitat de Catalunya,102.0,History Museum,81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
95,95,81,Centre Cultural Caixa Catalunya,161.0,Museum,81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
96,96,81,Palau Robert,99.0,Art Gallery,81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
97,97,81,Casa Ramon Casas,120.0,Monument,81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
98,98,82,,,[],82,PL. TETUAN,41.3943454,2.1751709,6,17
99,99,83,,,[],83,"C/ MAIGNON, 31-41",41.4095926,2.1524953,6,23
100,100,84,,,[],84,"C/ VIRIAT,  53",41.3808222,2.141539,2,17
101,101,85,,,[],85,"PG. PUJADES,  1 (JUTJATS)",41.388885,2.18329,7,19
102,102,86,Museu de Zoologia,93.0,Science Museum,86,"RDA. DE SANT PERE, 26",41.389492,2.17425,2,17
103,103,86,Laboratori de Natura,95.0,Science Museum,86,"RDA. DE SANT PERE, 26",41.389492,2.17425,2,17
104,104,87,Teatre Museu el Rei de la Màgia,106.0,Art Museum,87,"C/ LISBOA, 1",41.429561735076526,2.158968456344588,14,15
105,105,87,Museo Magic World,187.0,Museum,87,"C/ LISBOA, 1",41.429561735076526,2.158968456344588,14,15
106,106,88,,,[],88,"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,10,14
107,107,89,,,[],89,"PG. ZONA FRANCA, 244",41.36352,2.1369015,7,8
108,108,90,,,[],90,"RAMBLA DE L'ONZE DE SETEMBRE, 31",41.4298991,2.1932159,32,1
109,109,91,,,[],91,"C/ PUJADES, 121",41.3993329,2.1974184,16,11
110,110,92,,,[],92,"C/ CAMÈLIES, 78",41.4145614,2.1658677,16,9
111,111,93,,,[],93,"AV. JOSEP TARRADELLAS, 58",41.385004,2.1429115,5,16
112,112,94,,,[],94,"PL. CATALUNYA, 7",41.386543,2.169427,1,25
113,113,95,MUHBA Casa de l'Aigua,106.0,Museum,95,"C/ ARIZALA, 77",41.3789061,2.1233038,19,16
114,114,96,,,[],96,"C/ MÉNDEZ NÚÑEZ, 16",41.3900544,2.1775594,9,17
115,115,97,Museo Auto-Moto,165.0,Museum,97,"C/ ESPRONCEDA, 298",41.4158807,2.1908473,13,12
